1,1,1,2,Just OK
2,1,2,5,Really cool stuff. These guys rock!
3,2,1,5,Loved them. Very energetic.
4,2,2,1,Why did they even release this junk?
5,2,3,5,They rule!
7,3,3,5,This is the best CD I own
9495,5704,9779,3,Fake Review Content
9496,5704,9780,3,Fake Review Content
9498,5704,9782,3,Fake Review Content
9499,5704,9783,3,Fake Review Content
9500,5704,9784,3,Fake Review Content
9501,5704,9785,3,Fake Review Content
9502,5704,9791,3,Fake Review Content
9503,5704,9792,3,Fake Review Content
9536,5704,9828,3,Fake Review Content
9537,5704,9829,3,Fake Review Content
100001,100001,100001,1,Inspiration was low
100002,100002,100001,3,Could be better
100003,100003,100001,4,I thought it was great
