45,Lonesome Day,248,1,4,4
46,Into The Fire,304,1,4,4
47,Waitin' On A Sunny Day,258,1,4,4
48,The Nothing Man,263,1,4,4
49,Countin' On A Miracle,284,1,4,4
50,Empty Sky,214,1,4,4
51,Worlds Apart,367,1,4,4
52,Let's Be Friends,261,1,4,4
53,Further On (Up The Road),232,1,4,4
54,The Fuse,337,1,4,4
55,Mary's Place,363,1,4,4
56,You're Missing,311,1,4,4
57,The Rising,290,1,4,4
58,Paradise,339,1,4,4
59,My City Of Ruins,300,1,4,4
100001,Track #1,60,100001,100001,100001
100002,Track #2,120,100001,100001,100001
100003,Track #3,180,100001,100001,100001
100004,Track #4,240,100001,100001,100001
